hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
016732b24e72dafcdbcfde9e1d936c4c,1.0000,NO_INFO,1.0000,1.0000,1.0000
01973e419bff7ebc65cf41cdc2a6deff,0,0,NO_INFO,NO_INFO,0
01edc3923cf8e433e78f7eac3902bf82,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
0268aeb5cdf7e9bc8aa658dfc96f618c,.2500,0,0,0,.2500
02b7ad8858400d5da007755f9292a9b6,0,.8000,0,0,.8000
0690ef3e4b1869292216ce4f9f14fa5e,0,NO_INFO,NO_INFO,NO_INFO,0
06de3ce0d1fd5a2dba2579c371ea099d,0,0,NO_INFO,NO_INFO,0
0cae9121efe5fad4950a8bac41a23f3b,.6666,NO_INFO,NO_INFO,NO_INFO,.6666
0de4b4c1633364379836b588c6b0ea52,.1000,0,NO_INFO,NO_INFO,.1000
0de82d7d7e4e45270cced0df7173e37e,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
0e8bd2009658c61a880bec16aeccb111,0,.1666,NO_INFO,NO_INFO,.1666
0efa2245df9c35ceeb8514369b9cb070,0,0,NO_INFO,0,0
10421de67bb185372bfd58ea5ac64e28,0,NO_INFO,NO_INFO,NO_INFO,0
10644704db4d27a2ad2a778a58c8f123,0,NO_INFO,NO_INFO,NO_INFO,0
108060926bb017ba732403e6e8e7880b,,,NO_INFO,,
15c42d7b0bd7ed0b8a9a04f2790f4861,1.0000,0,0,0,1.0000
15d174e9b4ed952d7608412ef688aaca,0,NO_INFO,NO_INFO,NO_INFO,0
15ed967f81c6f4620edfbf837a58760f,0,0,0,0,0
17b8aea1e5f56fe3467ed30fd2d059f1,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
1826f7d4d897f49d51b57d7bf8e520c4,0,.9000,0,0,.9000
19268dfc0b6ff7e9945c1d53d04786cc,0,NO_INFO,NO_INFO,NO_INFO,0
194310c0d10d75af6321deaa6168d4e0,0,0,NO_INFO,NO_INFO,0
1dd64f2ff504af5c58b81d3834d5c006,0,NO_INFO,NO_INFO,NO_INFO,0
1dd7617d0f6aa5718848765af00d085c,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
1e580558cbf79ff28e294ed2cb9997ea,0,NO_INFO,0,0,0
200f0380398925ff08d3694850c22053,.7500,0,.5000,.5000,.7500
20a72415e1641ec3b93901eeceec3954,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
219ef7086d7d140e2eb5f890fd686be8,0,NO_INFO,NO_INFO,NO_INFO,0
21fa008316ed9f399e31c43cb024ccf9,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
2243e187eedf266248ec0f1659dff1fb,.5714,.4285,.2857,.2857,.7142
225a1905a0ec5c146bb36dcc002abc69,0,1.0000,0,0,1.0000
22aab941ba3b551d6489338875a6944d,1.0000,1.0000,NO_INFO,NO_INFO,1.0000
22d70cb3278e02950366aa29ae0936c1,0,0,NO_INFO,NO_INFO,0
2603e17501f398a1e2209ad29467856e,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
28d1bb0c897d494ae952e91ef1dcc425,0,0,NO_INFO,NO_INFO,0
29d470d4559f3cf6b8a69ea2ec15f1aa,0,1.0000,NO_INFO,0,1.0000
2a119d726dbe91829c49e81105e84f5d,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
2a41d5ff861b12edf3003c8791d0f052,0,1.0000,.9285,.9285,1.0000
2b1370dce665a0193db30e859314d922,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
2e3e9d5bacfcfb83ba9c32080d2a1904,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
2efca0aa125edb5538a1f0950282e579,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
2f3963d7d44fc668bd8f56b89421cdac,.7500,0,NO_INFO,0,.7500
30f82ed68d0d4896b998c71f29070eea,1.0000,NO_INFO,NO_INFO,NO_INFO,1.0000
31193fd184cc64937e9510e357d2f8fa,0,.3333,0,0,.3333
3154980da46d4fe58f1f986fc5d91ef0,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
33c47b70dcf5449d2840bb0a71a35520,0,NO_INFO,NO_INFO,NO_INFO,0
357078f27ca9a40c188763285d50fdff,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
37611264b6dc08c12c12b710019718b1,.7692,0,NO_INFO,NO_INFO,.7692
39f8d9a993614bfee1337737389aa2f9,.3846,0,NO_INFO,NO_INFO,.3846
3b60458e68bcb711a5fcae15260471ee,0,0,NO_INFO,NO_INFO,0
3cbe95c4597a5cf0e3bfaf55ea789d43,0,NO_INFO,NO_INFO,NO_INFO,0
3da1cb101cae46a496a5d034865a1cf0,.6666,.3333,NO_INFO,NO_INFO,1.0000
3dcad37bcbec7f71bf483ccdd5a9773d,.1111,1.0000,0,0,1.0000
3e6b9fb7c03b71293b38c162a8a2f5ac,0,0,NO_INFO,NO_INFO,0
3ee57713761e5a52acc32205002f72ff,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
3f34cbe58ae4b106e979c7e52c97fcdb,0,.7692,NO_INFO,0,.7692
3f3fbd4afaaa698565afcf4b0e9d74f7,1.0000,.2000,.2000,.2000,1.0000
4030d0fcb4b1a542fd040dc357ad9ab5,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
403917371fddaacf6f82655572412c2c,0,NO_INFO,NO_INFO,NO_INFO,0
404c4d556c0ef64eb8de9c8ea6c24aeb,.5000,0,0,0,.5000
447725e83a7ec6c3eeb8693874d75ba4,0,NO_INFO,NO_INFO,NO_INFO,0
4730c43601007c9ad7ab2017bcc321ec,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
479e194c53a2ba08831f7d600b5d0dc6,.8000,NO_INFO,0,0,.8000
49286d2a574874fb3f6e1472f5a5965b,.4285,.2857,NO_INFO,NO_INFO,.7142
4dd9d3e916d2932c292536e3a75299c6,0,NO_INFO,NO_INFO,NO_INFO,0
4e00ce7cede54c1be5f1ba6e179bc5e0,0,.6000,NO_INFO,NO_INFO,.6000
4e56a3008bf00a6f811792087f635be5,0,0,NO_INFO,0,0
4f1030e13ab3f9c437f42950db3a41bc,1.0000,0,NO_INFO,NO_INFO,1.0000
