hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
07449f14449c42aba9b877e111f4c1f6,0,NO_INFO,NO_INFO,NO_INFO,0
0797c966ebfa561647da14fb54e7d574,1.0000,0,0,0,1.0000
0893370b83a33999856a90d798623ad1,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
099666801bd64ff61f74f9d6f1e11e5f,0,0,NO_INFO,NO_INFO,0
09d8ef77b8f3396564b04ad9616d6d74,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
0cb5345035735a98598361ccad754ff6,1.0000,1.0000,0,0,1.0000
13785a088574eb77e4183a87448b0463,0,NO_INFO,0,0,0
142d65bfdf3b3961aa76c43389d3af87,.9090,.5454,NO_INFO,NO_INFO,1.0000
14a268114dcb8ee900f765969b054502,0,NO_INFO,NO_INFO,NO_INFO,0
17590f09ac2b40a840dac5a2843959d9,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
1d0f9ead97f4f8472815da51070fde32,0,0,NO_INFO,NO_INFO,0
1f2aed9be5d32f6fd810edeb7fb3b632,1.0000,.2500,NO_INFO,NO_INFO,1.0000
24a31da1a2000c21e799b39334534593,0,0,NO_INFO,NO_INFO,0
261e726ecf26d6a9e690d837da558cea,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
2649e5b8ace3ae31b6cdc342a15cd820,0,0,NO_INFO,NO_INFO,0
26e2447127828f815f45f2784e5d4ed8,0,0,NO_INFO,NO_INFO,0
283635d76bfdc9d1b7f50560c44f61ef,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
29db63370fe51d9f801678f4f2f10be5,0,NO_INFO,0,0,0
2a7c7e626ef88c07b7f97eecb0749555,0,0,NO_INFO,NO_INFO,0
2ce7c2cca1d14620541b22f722409827,.7142,0,NO_INFO,NO_INFO,.7142
2fa4e547339eb58959af050d85ead0ee,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
339490ce4e28938f9fd1e4ef2989aed4,0,0,NO_INFO,NO_INFO,0
33c03d2bd6859418b027d6bf1a46bfda,1.0000,NO_INFO,0,0,1.0000
35b1f67e206604a60f333d6a34d0d09e,1.0000,0,NO_INFO,NO_INFO,1.0000
38c5899e405c48d2b09264c0bf3f0077,0,0,NO_INFO,0,0
38cd0587ae9453f3ca1296c35cfab166,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
3b238132ea4ec42fd344562704dfbbee,0,0,NO_INFO,NO_INFO,0
3f45b351dab72cf8436d4041b944fcd5,0,NO_INFO,0,0,0
44ee04d22e9fd2eb3d7e48155e73a9e9,1.0000,.5000,NO_INFO,NO_INFO,1.0000
453cd34128f3dbf9c77d8c5f5c9b55ab,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
49d0bc098a9999b05f42dfb5cc59668b,.5000,0,NO_INFO,NO_INFO,.5000
4a2c6520e16f78fd86dd886074ad81ac,0,0,0,0,0
5190281f4d775ed1df8851708d26239f,0,0,NO_INFO,NO_INFO,0
54a1216b6b0aa1a55332f7fe6ad79dac,0,.1666,NO_INFO,NO_INFO,.1666
5ab76194a27b1effdb89eb71b9f0065b,.2500,0,NO_INFO,NO_INFO,.2500
5b88c186450391204ecfe74ef7878bae,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
5d267d2f929f35f60aca49aca48e7a98,.7500,0,NO_INFO,0,.7500
657cfb1a1c2e712be367ae91fa0e7c14,0,NO_INFO,0,0,0
68594486965c5ee848459473fbf60358,0,0,NO_INFO,NO_INFO,0
