size,path,range,url,complexity,time
5,vert-x3_vertx-docgen/src/main/java/io/vertx/docgen/BaseProcessor.java,168-173,https://github.com/vert-x3/vertx-docgen/blob/ec8245f872ba95ca8fdf967edba001fd841cdc35/src/main/java/io/vertx/docgen/BaseProcessor.java#L168-L173,7,failed
12,apache_sling-org-apache-sling-servlets-resolver/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java,273-285,https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java#L273-L285,6,15m37s
10,apache_sling-org-apache-sling-servlets-resolver/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java,259-269,https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java#L259-L269,5,2m41s
8,iotaledger_cliri/src/main/java/com/iota/iri/network/Node.java,200-208,https://github.com/iotaledger/cliri/blob/1f974cafb1c17d96ae7e0a6856f563dcf3794238/src/main/java/com/iota/iri/network/Node.java#L200-L208,5,8m4s
4,apache_sling-org-apache-sling-servlets-resolver/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java,302-306,https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java#L302-L306,5,4m24s
4,iotaledger_cliri/src/main/java/com/iota/iri/network/Node.java,203-207,https://github.com/iotaledger/cliri/blob/1f974cafb1c17d96ae7e0a6856f563dcf3794238/src/main/java/com/iota/iri/network/Node.java#L203-L207,5,2m1s
3,remondis-it_pact-consumer-builder/src/main/java/com/remondis/cdc/consumer/pactbuilder/ConsumerBuilderImpl.java,240-243,https://github.com/remondis-it/pact-consumer-builder/blob/4350f58d646d7aade31dc1caed7fb380b9cd143e/src/main/java/com/remondis/cdc/consumer/pactbuilder/ConsumerBuilderImpl.java#L240-L243,5,failed
2,Isaac315_sql-translator/src/main/java/com/raysonfang/sqltranslator/sql/dialect/oracle/function/OracleToMySqlFunctionTransform.java,116-118,https://github.com/Isaac315/sql-translator/blob/78f3fb0091c94563a640ef672de3e75e2b5c3bb2/src/main/java/com/raysonfang/sqltranslator/sql/dialect/oracle/function/OracleToMySqlFunctionTransform.java#L116-L118,5,2m35s
20,awslabs_aws-glue-catalog-sync-agent-for-hive/src/main/java/com/amazonaws/services/glue/catalog/HiveGlueCatalogSyncAgent.java,407-427,https://github.com/awslabs/aws-glue-catalog-sync-agent-for-hive/blob/2ba77e5718c5b1988e711fac37966b40665bc385/src/main/java/com/amazonaws/services/glue/catalog/HiveGlueCatalogSyncAgent.java#L407-L427,4,5m19s
10,xcsp3team_XCSP3-Java-Tools/src/main/java/org/xcsp/parser/XParser.java,330-340,https://github.com/xcsp3team/XCSP3-Java-Tools/blob/1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0/src/main/java/org/xcsp/parser/XParser.java#L330-L340,4,8m51s
8,3redronin_mu-server/src/main/java/io/muserver/Http1Connection.java,175-183,https://github.com/3redronin/mu-server/blob/69683cf8009d7a0ac52452fd4b0abe06ffd0bf87/src/main/java/io/muserver/Http1Connection.java#L175-L183,4,failed
7,darmiel_eeee/src/main/java/io/d2a/eeee/EntryMethod.java,57-64,https://github.com/darmiel/eeee/blob/f4114a3bf831ae88f6cca606f4d0f93ac09cc210/src/main/java/io/d2a/eeee/EntryMethod.java#L57-L64,4,5m1s
6,apache_sling-org-apache-sling-servlets-resolver/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java,223-229,https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java#L223-L229,4,2m21s
4,datadotworld_dw-jdbc/src/main/java/world/data/jdbc/internal/transport/SparqlResultsParser.java,69-73,https://github.com/datadotworld/dw-jdbc/blob/ac4f7d8a457dce89cbaa9eb33994304e5504fda1/src/main/java/world/data/jdbc/internal/transport/SparqlResultsParser.java#L69-L73,4,2m55s
3,3redronin_mu-server/src/main/java/io/muserver/MuWebSocketSessionImpl.java,218-221,https://github.com/3redronin/mu-server/blob/69683cf8009d7a0ac52452fd4b0abe06ffd0bf87/src/main/java/io/muserver/MuWebSocketSessionImpl.java#L218-L221,4,failed
3,errai_errai/errai-ioc/src/main/java/org/jboss/errai/ioc/rebind/ioc/extension/builtin/JsTypeAntiInliningExtension.java,93-96,https://github.com/errai/errai/blob/d2edc4632373096f8d81c93f18cd874fa5501b90/errai-ioc/src/main/java/org/jboss/errai/ioc/rebind/ioc/extension/builtin/JsTypeAntiInliningExtension.java#L93-L96,4,3m34s
3,jessin20161124_miniDubboOpen/src/main/java/com/jessin/practice/dubbo/netty/FastjsonSerializer.java,268-271,https://github.com/jessin20161124/miniDubboOpen/blob/a02a5c2b393456861401b14057752fb22a7308ab/src/main/java/com/jessin/practice/dubbo/netty/FastjsonSerializer.java#L268-L271,4,1m37s
2,LiveRamp_HyperMinHash-java/src/main/java/com/liveramp/hyperminhash/demo/DemoBetaMinHash.java,55-57,https://github.com/LiveRamp/HyperMinHash-java/blob/9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae/src/main/java/com/liveramp/hyperminhash/demo/DemoBetaMinHash.java#L55-L57,4,failed
2,lastaflute_lastaflute/src/main/java/org/lastaflute/web/validation/ActionValidator.java,744-746,https://github.com/lastaflute/lastaflute/blob/01201e2eee995053bf6f9febcf58ace01ed38c30/src/main/java/org/lastaflute/web/validation/ActionValidator.java#L744-L746,4,7m54s
2,vangj_jbayes/src/main/java/com/github/vangj/jbayes/inf/exact/graph/pptc/Evidence.java,266-268,https://github.com/vangj/jbayes/blob/4f3a542a4cab356b2b4a3d5d735ae0346429ef2d/src/main/java/com/github/vangj/jbayes/inf/exact/graph/pptc/Evidence.java#L266-L268,4,1m2s
2,vmzakharov_dataframe-ec/src/main/java/io/github/vmzakharov/ecdataframe/dataframe/DataFrame.java,1780-1782,https://github.com/vmzakharov/dataframe-ec/blob/b5cef516c1f02207399f751ba922f9e5347f8f3c/src/main/java/io/github/vmzakharov/ecdataframe/dataframe/DataFrame.java#L1780-L1782,4,failed
2,walmartlabs_gozer/src/main/java/com/walmartlabs/x12/util/split/X12TransactionSplitter.java,233-235,https://github.com/walmartlabs/gozer/blob/694f2cd0e3341dd2d4eaf61467ef9f91881ddb4d/src/main/java/com/walmartlabs/x12/util/split/X12TransactionSplitter.java#L233-L235,4,failed
1,apache_commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java,532-533,https://github.com/apache/commons-codec/blob/634ac7caba17b3610e8fe3dd19f9f05faf4d1f94/src/main/java/org/apache/commons/codec/language/bm/Rule.java#L532-L533,4,2m53s
14,awslabs_aws-glue-catalog-sync-agent-for-hive/src/main/java/com/amazonaws/services/glue/catalog/HiveGlueCatalogSyncAgent.java,370-384,https://github.com/awslabs/aws-glue-catalog-sync-agent-for-hive/blob/2ba77e5718c5b1988e711fac37966b40665bc385/src/main/java/com/amazonaws/services/glue/catalog/HiveGlueCatalogSyncAgent.java#L370-L384,3,1m20s
14,mojohaus_license-maven-plugin/src/main/java/org/codehaus/mojo/license/extended/spreadsheet/CalcFileWriter.java,607-621,https://github.com/mojohaus/license-maven-plugin/blob/b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe/src/main/java/org/codehaus/mojo/license/extended/spreadsheet/CalcFileWriter.java#L607-L621,3,3m45s
14,mojohaus_license-maven-plugin/src/main/java/org/codehaus/mojo/license/extended/spreadsheet/ExcelFileWriter.java,482-496,https://github.com/mojohaus/license-maven-plugin/blob/b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe/src/main/java/org/codehaus/mojo/license/extended/spreadsheet/ExcelFileWriter.java#L482-L496,3,30s
12,vizor-games_infraworld-cornerstone/src/main/java/com/vizor/unreal/convert/CastGenerator.java,241-253,https://github.com/vizor-games/infraworld-cornerstone/blob/2f8c792393fd8bbfc09d5bfdd36114230f64aa5c/src/main/java/com/vizor/unreal/convert/CastGenerator.java#L241-L253,3,6m54s
9,apache_sling-org-apache-sling-servlets-resolver/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java,193-202,https://github.com/apache/sling-org-apache-sling-servlets-resolver/blob/75e62e657fc0b2dbbc90287cba23a24116152fce/src/main/java/org/apache/sling/servlets/resolver/internal/bundle/BundledScriptTracker.java#L193-L202,3,3m26s
