fragment,data,control,exception
https://github.com/maxmind/geoip-api-java/blob/0ed8a38981512667533d47204486aae0278a1bc8/src/main/java/com/maxmind/geoip/regionName.java#L11-L23,2,0,0
https://github.com/maxmind/geoip-api-java/blob/0ed8a38981512667533d47204486aae0278a1bc8/src/main/java/com/maxmind/geoip/timeZone.java#L33-L81,24,0,0
https://github.com/magdel/MapNav/blob/97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3/src/main/java/RPMap/MapCanvas.java#L1732-L1734,4,0,0
https://github.com/messai-engineering/Yuga/blob/40b006970e6e9a1eb5fc13e739f22232c683a965/src/main/java/com/twelfthmile/yuga/Yuga.java#L239C33-L245,24,0,0
https://github.com/pvto/konte-art/blob/03c969d8fd62ba3c7175a840e6a785049183f4b6/src/main/java/org/konte/parse/Parser.java#L611-L613,2,0,2
https://github.com/tud-fop/j-Algo/blob/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Parser.java#L1146C1-L1155C31,0,0,1
https://github.com/tud-fop/j-Algo/blob/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Lexer.java#L1628C11-L1633C12,2,0,0
https://github.com/PeterisP/morphology/blob/1195adb7bb994292e5b06f2b20f4feb6191ca951/src/main/java/lv/semti/morphology/analyzer/Mijas.java#L122C2-L125C96,4,0,0
https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/compiler/AbstractParser.java#L324-L329,2,0,0
https://github.com/PeterisP/morphology/blob/1195adb7bb994292e5b06f2b20f4feb6191ca951/src/main/java/lv/semti/morphology/analyzer/Mijas.java#L767-L774,5,0,0
https://github.com/hoijui/Jawk/blob/33cfbc2bc14bc9c75fedccbe2963ef26b61543dc/src/main/java/org/jawk/backend/AVM.java#L563C1-L584C8,6,0,1
https://github.com/hoijui/Jawk/blob/33cfbc2bc14bc9c75fedccbe2963ef26b61543dc/src/main/java/org/jawk/backend/AVM.java#L849-L862,4,0,0
https://github.com/StarlangSoftware/TurkishMorphologicalDisambiguation/blob/bf8dbc2cd835c67178eb896939ad1009b6743486/src/main/java/MorphologicalDisambiguation/AutoDisambiguator.java#L275-L281,2,1,0
https://github.com/graphstream/gs-core/blob/950b87280075f92a85b564b47ce6522ced5ba53a/src/org/graphstream/ui/graphicGraph/stylesheet/parser/StyleSheetParserTokenManager.java#L72-L96,13,0,0
https://github.com/tud-fop/j-Algo/blob/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Parser.java#L4496-L4505,0,0,1
https://github.com/smola/galimatias/blob/0771a10ef5021181fc172b95ac39e9f4c7ada2e8/src/main/java/io/mola/galimatias/URLParser.java#L472C2-L479C26,2,0,0
https://github.com/tvesalainen/bcc/blob/8bfbb307418a422d57370b2df12fdfb1126f3407/src/main/java/org/vesalainen/bcc/ByteCodeDump.java#L428C1-L437C22,1,0,0
https://github.com/pfmiles/min-velocity/blob/4e8ec4f64681c1d6941bf8d90a51849e87b86cf5/src/main/java/com/github/pfmiles/org/apache/velocity/runtime/parser/ParserTokenManager.java#L4456C1-L4460C42,4,0,0
https://github.com/dingjs/javaagent/blob/aa1cea60d0042f58977fb5d42c16afca92ad589d/src/main/java/com/wenshuo/agent/javassist/bytecode/analysis/Executor.java#L282C1-L293C51,1,0,0
