file,generation time,test time,blocktest count,actual test count,USEABLE,total_time
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http2Connection,1501,1792,1,1,TRUE,3.293
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-SimpleXMLParser,1548,1566,6,6,TRUE,3.114
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-TiffImage,1529,1960,3,3,TRUE,3.489
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-PluginManager,1495,2150,4,4,TRUE,3.645
apache-commons-codec-634ac7caba17b3610e8fe3dd19f9f05faf4d1f94-Rule,1516,2909,7,7,TRUE,4.425
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-JpegImageParser,2090,2958,4,4,TRUE,5.048
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input,1662,1609,8,6,TRUE,3.271
apache-sling-org-apache-sling-servlets-resolver-75e62e657fc0b2dbbc90287cba23a24116152fce-BundledScriptTracker,2176,3151,13,13,TRUE,5.327
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImage,1673,1386,5,5,TRUE,3.059
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder,2103,1448,8,8,TRUE,3.551
attoparser-attoparser-e1049dcd8261fe315b679029e711a9f5ea03f1cc-MarkupSelectorItems,2007,2099,10,10,TRUE,4.106
awslabs-aws-glue-catalog-sync-agent-for-hive-2ba77e5718c5b1988e711fac37966b40665bc385-HiveGlueCatalogSyncAgent,1541,2683,4,4,TRUE,4.224
Azure-azure-functions-java-worker-c92d38cdeb867f2f7e2ae9b2515c32c2ecfd1e41-BindingDataStore,1465,4543,1,1,TRUE,6.008
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-Proxy,1605,1543,5,5,TRUE,3.148
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient,1963,1845,2,2,TRUE,3.808
ben-xo-cdjscrobbler-921fe5394227f1f602174b7c8935697904128d53-UpdateListener,1438,1818,1,1,TRUE,3.256
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Window,1806,1544,5,5,TRUE,3.35
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-Bootstrap,1641,1461,3,3,TRUE,3.102
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-CCSecurity,1449,4593,2,2,TRUE,6.042
darmiel-eeee-f4114a3bf831ae88f6cca606f4d0f93ac09cc210-EntryMethod,1429,1341,1,1,TRUE,2.77
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser,1471,2022,5,5,TRUE,3.493
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder,2179,2022,1,1,TRUE,4.201
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA,1612,1754,5,5,TRUE,3.366
errai-errai-d2edc4632373096f8d81c93f18cd874fa5501b90-JsTypeAntiInliningExtension,-1,-1,0,0,FALSE,-0.002
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-YamlReader,2095,1720,4,4,TRUE,3.815
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory,1466,1722,2,2,TRUE,3.188
finmath-finmath-lib-ad5d22e93e335cd88c95f8f2d7ba6336e3947e68-Black76Model,-1,-1,0,0,FALSE,-0.002
fizzed-jne-199d45bd8728807b61356fd1c0f17079b567ed60-JavaHomes,1530,2946,2,2,TRUE,4.476
gabrie-allaigre-sonar-gitlab-plugin-1a6b20737c0e034fed35f555442fa493c6268e9f-GitLabApiV3Wrapper,1480,2180,3,3,TRUE,3.66
gabrie-allaigre-sonar-gitlab-plugin-1a6b20737c0e034fed35f555442fa493c6268e9f-GitLabApiV4Wrapper,1490,2168,3,3,TRUE,3.658
